Flag,Device,Mastering Type,Map,Notes
,10025_T32_5,simple,ITAMARANDIBA,
,10.100.16.163,simple,ITAMARANDIBA,
,10025-T35_3,simple,ITAMARANDIBA,
,10025-T83 SOLAR VENENO,simple,ITAMARANDIBA,
,10025-T79_1,simple,SERRA NEGRA,
,10025-TDUDE,simple,CARBONITA,
,10025-T85,simple,ITAMARANDIBA,
,10025-T84_1,simple,ITAMARANDIBA,
,AP_HOZANA,simple,PLA/OLHD/LAGOA,
,10025-T28_4,simple,CARBONITA,
,10025_T13_15,simple,CARBONITA,
,NTC_T13 CONCENTRADOR PPPOE,simple,CARBONITA,
,10025_T13_14,simple,CARBONITA,
,10025_T13_15,simple,CARBONITA,
,10025-T125_2,simple,ITAMARANDIBA,
,10.100.15.134,simple,PLA/OLHD/LAGOA,
,10.100.15.134,simple,PLA/OLHD/LAGOA,
,10025-T74_12(CORE),simple,SERRA NEGRA,
,10025-T74_15,simple,SERRA NEGRA,
,10025_T81_1,simple,ITAMARANDIBA,
,10025-T16_2,simple,CAMPO LIMPO,
,10025-T16,simple,CAMPO LIMPO,
,10025_T13_9,simple,CARBONITA,
,10.100.15.41,simple,CARBONITA,
,APR01-03 AP,simple,APERAN,
,JOSE RAYDAN,simple,SANTA MARIA,
,10.100.15.8 SIAE,simple,SANTA MARIA,
,10025-T52,simple,CARBONITA,
,10025-T29_6,simple,SERRA NEGRA,
,10025-T17_12,simple,CAMPO LIMPO,
,10025-T17_12,simple,CAMPO LIMPO,
,10025-T44_4,simple,CAMPO LIMPO,
,10.201.11.158,simple,CAMPO LIMPO,
,AP-ZOO,simple,ITAMARANDIBA,
,AAMAR,simple,ITAMARANDIBA,
,10.100.16.98,simple,ITAMARANDIBA,
,10.100.16.98,simple,ITAMARANDIBA,
,10.100.15.125,simple,PLA/OLHD/LAGOA,
,10.100.15.124,simple,PLA/OLHD/LAGOA,
,AP ROCA DO DEMAS,simple,SERRA NEGRA,
,10025-T80_3,simple,ITAMARANDIBA,
,10.200.206.71,simple,ITAMARANDIBA,
,10.100.206.147,simple,SERRA NEGRA,
,10.200.15.78,simple,FLORES,
,10.200.15.78,simple,FLORES,
,CTN3178XX,simple,SERRA NEGRA,
,APR-APR11 ST,simple,APERAN,
,10.201.11.73,simple,CAMPO LIMPO,
,10.201.11.73,simple,CAMPO LIMPO,
,10.201.11.73,simple,CAMPO LIMPO,
,10025-T74_12 NIC,simple,SERRA NEGRA,
,10.201.11.119,simple,CARBONITA,
,10.201.11.125,simple,CARBONITA,
,10.201.11.126,simple,CARBONITA,
,10.200.15.82,simple,FLORES,
,10025-T74_12(CORE),simple,SERRA NEGRA,
,AP-ESCOLA-SAO-GIL,simple,SERRA NEGRA,
,10.200.15.84,simple,FLORES,
,10.200.15.86,simple,FLORES,
,10.200.15.85,simple,FLORES,
,10.100.15.136,simple,PLA/OLHD/LAGOA,
,ST-BOZO,simple,CAMPO LIMPO,
,10.201.11.11,simple,CAMPO LIMPO,
,ST-BOZO,simple,CAMPO LIMPO,
,10.100.206.147,simple,SERRA NEGRA,
,10.200.15.18,simple,CARBONITA,
,10.201.11.114,simple,CARBONITA,
,10.201.11.114,simple,CARBONITA,
,10.201.11.114,simple,CARBONITA,
,10.1.15.49,simple,ITAMARANDIBA,
,10.1.15.49,simple,ITAMARANDIBA,
,10.1.15.49,simple,ITAMARANDIBA,
,10025-T110_3,simple,ITAMARANDIBA,
,10025-T110_3,simple,ITAMARANDIBA,
,10.1.15.33,simple,CAPELINHA,
,10.1.15.54,simple,CAPELINHA,
,AP-ZEQUINHA,simple,CAPELINHA,
,10.201.11.190,simple,CARBONITA,
,RB 750 -BANDEIRA,simple,CARBONITA,
,RB 750 -BANDEIRA,simple,CARBONITA,
,10025-T74_9,simple,SERRA NEGRA,
,10.100.15.13(T127),simple,BACBONE,
,10.100.15.12(T12),simple,BACBONE,
,10.1.5.37(T13),simple,BACBONE,
,10.100.15.10(T22),simple,BACBONE,
,10.1.15.48(T22),simple,BACBONE,
,10.1.15.58(T26),simple,BACBONE,
,10025-77-SIAE,simple,BACBONE,
