Nome do Dispositivo,Endereço IP
AP-ESCOLA-SAO-GIL,10.100.206.250
10025-T74_10,10.100.206.247
10025-T74_15,10.100.206.243
750,10.100.206.242
10025-T29_6,10.100.206.204
10025-T29_2,10.100.206.200
10025-T63_2,10.100.206.199
10025-T29,10.100.206.198
10025_T29_1,10.100.206.197
10025-63_1,10.100.206.196
10025-T63,10.100.206.195
10025-T74_2,10.100.206.194
10025-T76_1 BLOQUETE,10.100.206.188
10025-T76,10.100.206.187
NETCAR058-2,10.100.206.186
10.100.206.185,10.100.206.185
AP_OURO_FINO,10.100.206.184
ST_OURO_FINO,10.100.206.183
10025-T74_14,10.100.206.182
10.100.206.181,10.100.206.181
10025-T79_1,10.100.206.180
10025-T79 NIC,10.100.206.179
10025-T74_12 NIC,10.100.206.178
DIVINO-BACKUP,10.100.206.166
CTN3178XX,10.100.206.165
10.100.206.164,10.100.206.164
10025-T74_9,10.100.206.162
10.100.206.149,10.100.206.149
10.100.206.147,10.100.206.147
AP ROCA DO DEMAS,10.100.206.146
10025-T77_1,10.100.206.133
10025-T77,10.100.206.132
10025-T77_2,10.100.206.131
SERRA A DIVINO,10.100.206.130
10.100.206.130,10.100.206.130
AP_HOZANA,10.100.205.14
10025-T66_4,10.100.205.12
10025-T66_5,10.100.205.11
10025-T66_3,10.100.205.9
10025-T66,10.100.205.7
10025-T66_1,10.100.205.6
10025-T73_6,10.100.205.4
10.100.205.3,10.100.205.3
CORDEIRO,10.100.205.2
10.100.16.205,10.100.16.205
10.100.16.204,10.100.16.204
10.100.16.203,10.100.16.203
AP-CACHOEIRA,10.100.16.202
RB-MIRANTE,10.100.16.201
SN_PONTE_S,10.100.16.199
RB-PENHA,10.100.16.198
PENHA,10.100.16.197
AP-PENHA,10.100.16.196
MIRANTE-PENHA,10.100.16.195
TV A MIRANTE PENHA,10.100.16.194
10.100.16.168,10.100.16.168
ST-PEDREIRA,10.100.16.167
AP-PEDREIRAS,10.100.16.166
AP_ARANTES,10.100.16.165
10.100.16.164,10.100.16.164
10.100.16.163,10.100.16.163
10025_T32_5,10.100.16.162
SN45,10.100.16.130
AP-ZOO,10.100.16.100
10025-T124,10.100.16.99
10.100.16.98,10.100.16.98
10025-T123_3,10.100.16.85
ST-SANTOS,10.100.16.84
10.100.16.82,10.100.16.82
10.100.16.81,10.100.16.81
10.100.16.80,10.100.16.80
10.100.16.79,10.100.16.79
10.100.16.78,10.100.16.78
10.100.16.77,10.100.16.77
10.100.16.76,10.100.16.76
10025-T122_1,10.100.16.75
10025-T122_4,10.100.16.74
10025-T122_3,10.100.16.72
10025-T123-2,10.100.16.71
10.100.16.70,10.100.16.70
10025-T123_2,10.100.16.69
10025-T119_1,10.100.16.68
10025-T119,10.100.16.67
10.100.16.66,10.100.16.66
10025-T123,10.100.16.45
ST-DE,10.100.16.44
ESCOLA-CD,10.100.16.43
10025-T123_3,10.100.16.42
10025-T123_4,10.100.16.41
AP-JOAQUIM,10.100.16.40
10025-T123_2,10.100.16.39
10025-T123_1,10.100.16.38
10025-T32_2,10.100.16.34
10.100.16.2,10.100.16.2
10025_T81 CONCENTRADOR PPPOE,10.100.16.1
10.100.15.136,10.100.15.136
10.100.15.135,10.100.15.135
10.100.15.134,10.100.15.134
10025-T2_2,10.100.15.133
10.100.15.133,10.100.15.133
10025-T2_1,10.100.15.132
10.100.15.131,10.100.15.131
10025-T2,10.100.15.131
10025-T1_1,10.100.15.130
AP-GROTAX,10.100.15.126
10.100.15.125,10.100.15.125
10.100.15.124,10.100.15.124
10025-T56_5,10.100.15.123
10025-T56_2,10.100.15.122
10025-T57,10.100.15.119
10025-T56,10.100.15.116
10025-T56_3,10.100.15.115
10025-T73,10.100.15.114
10.100.15.109,10.100.15.109
10025-T85_1,10.100.15.108
10025-T85,10.100.15.107
SN-BDI,10.100.15.106
NETCARBDI,10.100.15.105
10025_T83_1,10.100.15.104
10025-T83,10.100.15.103
10025-T73_14,10.100.15.101
MACAU-RENATO-SXT,10.100.15.100
AP-NICACIO,10.100.15.93
ST MARTA,10.100.15.92
10025-T113,10.100.15.91
10025-T113_2,10.100.15.90
DEZIM,10.100.15.89
10025_T12_5,10.100.15.85
AP-ROCA BA,10.100.15.82
10025-T114_2,10.100.15.70
10025-T114_1,10.100.15.69
10025-T114,10.100.15.68
10025-T12_6,10.100.15.67
10.100.15.56(T49),10.100.15.56
10.100.15.55(T74),10.100.15.55
10.100.15.52,10.100.15.52
10.100.15.52,10.100.15.52
10.100.15.47,10.100.15.47
10.100.15.47,10.100.15.47
10.100.15.44(T73),10.100.15.44
10.100.15.43(T35),10.100.15.43
10025-T111_8,10.100.15.43
10025-T73_12,10.100.15.42
10.100.15.41,10.100.15.41
10.100.15.41(T73),10.100.15.41
10.100.15.40(T35),10.100.15.40
10.100.15.39(T73),10.100.15.39
10.100.15.38(T26),10.100.15.38
10.100.15.37(T81),10.100.15.37
10025-T81_4 SIAE,10.100.15.37
10025-T74_13 SIAE,10.100.15.37
10.100.15.36(T74),10.100.15.36
10.100.15.13(T127),10.100.15.13
10.100.15.12(T12),10.100.15.12
10025-T32_6,10.100.15.12
CCR1016,10.100.15.11
10.100.15.10(T22),10.100.15.10
10025-77-SIAE,10.100.15.9
10025-77-SIAE,10.100.15.9
10.100.15.8(T13),10.100.15.8
10.100.15.8 SIAE,10.100.15.8
10.100.15.6,10.100.15.6
10.100.15.6,10.100.15.6
10025_T74_13_SIAE,10.100.15.5
10025_T74_13_SIAE,10.100.15.5
10025_T74_17 SIAE,10.100.15.5
10.59.59.2(SW-ITA),10.59.59.2
10025-T20_1,10.1.15.204
10025-T11_2,10.1.15.203
10025-T42_2,10.1.15.202
10025-T42_1,10.1.15.201
10025-T42,10.1.15.200
10025-T11_1,10.1.15.199
10025-T11,10.1.15.198
10025-T19,10.1.15.197
10025_T17_5,10.1.15.195
10025-T19_2,10.1.15.194
10025-T110_4,10.1.15.188
10025-T110_3,10.1.15.187
10025-T32_8,10.1.15.186
10025-T32 2011,10.1.15.162
10025-T3_4,10.1.15.154
AP SN,10.1.15.153
10025-T54_1,10.1.15.142
10025-T52_2,10.1.15.141
10025-T54,10.1.15.140
RB-JEQUI-IURY,10.1.15.136
10025-T52_3,10.1.15.135
10025-T52,10.1.15.134
10025-T52_1,10.1.15.133
10025-T84_1,10.1.15.132
10025-T12_2,10.1.15.130
10025_T81_3 ESC,10.1.15.62
10025_T81_2 SB,10.1.15.61
10025-T58_1,10.1.15.59
10.1.15.58(T26),10.1.15.58
10.1.15.57,10.1.15.57
10025-T57_1,10.1.15.57
CRUZ-GRANDE,10.1.15.56
10.1.15.56(T77),10.1.15.56
10.1.15.54,10.1.15.54
10025-TDUDE,10.1.15.53
10.1.15.52(T19),10.1.15.52
SANTA JOANA FIBRA,10.1.15.51
10.1.15.50,10.1.15.50
10.1.15.49,10.1.15.49
10.200.15.131(T22),10.1.15.48
10.1.15.48(T22),10.1.15.48
10025-T111_7,10.1.15.48
10.1.15.47(T73),10.1.15.47
10025-T73_10,10.1.15.47
10.1.15.46(T35),10.1.15.46
10025-T35,10.1.15.46
10.1.15.44,10.1.15.44
CHACARA,10.1.15.43
RB 760,10.1.15.42
ESCRITORIO APERAM,10.1.15.41
10.1.15.39(T74),10.1.15.39
10025-T74_12(CORE),10.1.15.39
TORRE 5 CAPELINHA,10.1.15.38
10.1.15.38(127),10.1.15.38
10025_T127,10.1.15.38
NTC_APR_T05,10.1.15.38
10.1.5.37(T13),10.1.15.37
10.1.15.36(NE),10.1.15.36
10025-T45_26,10.1.15.35
10025-T45,10.1.15.35
APR00-CONCENTRADOR-APERAM,10.1.15.35
10.1.15.33,10.1.15.33
CORE-RCZNET,10.1.15.4
10.0.60.10,10.0.60.10
ROTEADOR INTELBRAS,10.0.0.10
SWITCH,0.0.0.0
ONU JACU,0.0.0.0
SWITCH,0.0.0.0
NETCAR058-CP,0.0.0.0
RB-750-CAPAO,0.0.0.0
PENHA,0.0.0.0
MC PARCEIRO,0.0.0.0
CLIENTES FINAL CAMPO LIMPO 2800,0.0.0.0
MACHADO,0.0.0.0
SANTA_LUZIA,0.0.0.0
OLT CARBONITA,0.0.0.0
NE8000,0.0.0.0
172.16.133.3,0.0.0.0
172.16.133.2,0.0.0.0
10025-T85_2,0.0.0.0
10025-T86_1,0.0.0.0
10025-T85_1,0.0.0.0
ROTEADOR 2,0.0.0.0
10.201.11.17,0.0.0.0
ROTEADOR 3,0.0.0.0
10025-T86,0.0.0.0
ROTEADOR 1,0.0.0.0
AP-ZEQUINHA,0.0.0.0
AP-MARTINHO,0.0.0.0
172.16.92.51,0.0.0.0
SWITCH,0.0.0.0
ONU_HUAWEI_PLANALTO,0.0.0.0
SWITCH INTELBRAS,0.0.0.0
JOSE RAYDAN,0.0.0.0
SANTA MARIA,0.0.0.0
modem,0.0.0.0
177.184.190.46,0.0.0.0
CAMERA 3,0.0.0.0
SN,0.0.0.0
CAMERA 5,0.0.0.0
CAMERA 1,0.0.0.0
CAMERA 6,0.0.0.0
CAMERA 10,0.0.0.0
10.201.11.71,0.0.0.0
SWITCH-MURILO,0.0.0.0
45.167.44.1(NE-SPN),0.0.0.0
10025-T28_10,0.0.0.0
10.200.15.130(T45),0.0.0.0
10.1.15.55,0.0.0.0
10.200.15.134,0.0.0.0
10025-T28_7,0.0.0.0
10.200.15.76,0.0.0.0
10.200.15.75,0.0.0.0
10025-T40_12,0.0.0.0
10.200.15.74,0.0.0.0
10.200.206.186(SW-CB),0.0.0.0
10025-T19_6,0.0.0.0
10025-T22_4,0.0.0.0
10025-T45_21,0.0.0.0
VALDETE,0.0.0.0
10025-T40_7,0.0.0.0
10025_T92,0.0.0.0
10025-T29_5,0.0.0.0
10025-T111_5,0.0.0.0
10025-T29_4,0.0.0.0
10025-T40_6,0.0.0.0
10025-T111_6,0.0.0.0
10025-117_1,0.0.0.0
10025-T111_10,0.0.0.0
10025-T111_4,0.0.0.0
10025-T111_2,0.0.0.0
10025-T111_3,0.0.0.0
10025-T111_1,0.0.0.0
10025-T74_CAM,0.0.0.0
10025_T45_12,0.0.0.0
10025-T54_4,0.0.0.0
OLT-HUAWEI-10.220.11.10,10.220.11.10
OLT-HUAWEI-10.200.15.2,10.200.15.2
OLT-HUAWEI-10.223.11.10,10.223.11.10
